match_id,stage,group,datetime,status,home,away,home_score,away_score,home_red_cards,away_red_cards,venue
56,Group stage,E,25/06/2026 21:00,scheduled,Curacao,Ivory Coast,,,,,"Lincoln Financial Field, Philadelphia"
57,Group stage,F,26/06/2026 00:00,scheduled,Tunisia,Netherlands,,,,,"Arrowhead Stadium, Kansas City"
58,Group stage,F,26/06/2026 00:00,scheduled,Japan,Sweden,,,,,"AT&T Stadium, Arlington"
59,Group stage,D,26/06/2026 03:00,scheduled,Turkiye,United States,,,,,"SoFi Stadium, Inglewood"
60,Group stage,D,26/06/2026 03:00,scheduled,Paraguay,Australia,,,,,"Levi's Stadium, Santa Clara"
61,Group stage,I,26/06/2026 20:00,scheduled,Norway,France,,,,,"Gillette Stadium, Foxborough"
62,Group stage,I,26/06/2026 20:00,scheduled,Senegal,Iraq,,,,,"BMO Field, Toronto"
63,Group stage,H,27/06/2026 01:00,scheduled,Uruguay,Spain,,,,,"Estadio Akron, Guadalajara"
64,Group stage,H,27/06/2026 01:00,scheduled,Cape Verde,Saudi Arabia,,,,,"NRG Stadium, Houston"
65,Group stage,G,27/06/2026 04:00,scheduled,New Zealand,Belgium,,,,,"BC Place, Vancouver"
66,Group stage,G,27/06/2026 04:00,scheduled,Egypt,Iran,,,,,"Lumen Field, Seattle"
67,Group stage,L,27/06/2026 22:00,scheduled,Panama,England,,,,,"MetLife Stadium, East Rutherford"
68,Group stage,L,27/06/2026 22:00,scheduled,Croatia,Ghana,,,,,"Lincoln Financial Field, Philadelphia"
69,Group stage,K,28/06/2026 00:30,scheduled,Colombia,Portugal,,,,,"Hard Rock Stadium, Miami"
70,Group stage,K,28/06/2026 00:30,scheduled,DR Congo,Uzbekistan,,,,,"Mercedes-Benz Stadium, Atlanta"
71,Group stage,J,28/06/2026 03:00,scheduled,Jordan,Argentina,,,,,"Arrowhead Stadium, Kansas City"
72,Group stage,J,28/06/2026 03:00,scheduled,Algeria,Austria,,,,,"AT&T Stadium, Arlington"
73,Round of 32,,28/06/2026 20:00,scheduled,2nd Group A,2nd Group B,,,,,"SoFi Stadium, Inglewood"
74,Round of 32,,29/06/2026 18:00,scheduled,1st Group C,2nd Group F,,,,,"NRG Stadium, Houston"
75,Round of 32,,29/06/2026 21:30,scheduled,1st Group E,3rd place finisher,,,,,"Gillette Stadium, Foxborough"
76,Round of 32,,30/06/2026 02:00,scheduled,1st Group F,2nd Group C,,,,,"Estadio BBVA, Monterrey"
77,Round of 32,,30/06/2026 18:00,scheduled,2nd Group E,2nd Group I,,,,,"AT&T Stadium, Arlington"
78,Round of 32,,30/06/2026 22:00,scheduled,1st Group I,3rd place finisher,,,,,"MetLife Stadium, East Rutherford"
79,Round of 32,,01/07/2026 02:00,scheduled,1st Group A,3rd place finisher,,,,,"Estadio Azteca, Mexico City"
80,Round of 32,,01/07/2026 17:00,scheduled,1st Group L,3rd place finisher,,,,,"Mercedes-Benz Stadium, Atlanta"
81,Round of 32,,01/07/2026 21:00,scheduled,1st Group G,3rd place finisher,,,,,"Lumen Field, Seattle"
82,Round of 32,,02/07/2026 01:00,scheduled,1st Group D,3rd place finisher,,,,,"Levi's Stadium, Santa Clara"
83,Round of 32,,02/07/2026 20:00,scheduled,1st Group H,2nd Group J,,,,,"SoFi Stadium, Inglewood"
84,Round of 32,,03/07/2026 00:00,scheduled,2nd Group K,2nd Group L,,,,,"BMO Field, Toronto"
85,Round of 32,,03/07/2026 04:00,scheduled,1st Group B,3rd place finisher,,,,,"BC Place, Vancouver"
86,Round of 32,,03/07/2026 19:00,scheduled,2nd Group D,2nd Group G,,,,,"AT&T Stadium, Arlington"
87,Round of 32,,03/07/2026 23:00,scheduled,1st Group J,2nd Group H,,,,,"Hard Rock Stadium, Miami"
88,Round of 32,,04/07/2026 02:30,scheduled,1st Group K,3rd place finisher,,,,,"Arrowhead Stadium, Kansas City"
89,Round of 16,,04/07/2026 18:00,scheduled,Winner R32 M1,Winner R32 M3,,,,,"NRG Stadium, Houston"
90,Round of 16,,04/07/2026 22:00,scheduled,Winner R32 M2,Winner R32 M5,,,,,"Lincoln Financial Field, Philadelphia"
91,Round of 16,,05/07/2026 21:00,scheduled,Winner R32 M4,Winner R32 M6,,,,,"MetLife Stadium, East Rutherford"
92,Round of 16,,06/07/2026 01:00,scheduled,Winner R32 M7,Winner R32 M8,,,,,"Estadio Azteca, Mexico City"
93,Round of 16,,06/07/2026 20:00,scheduled,Winner R32 M11,Winner R32 M12,,,,,"AT&T Stadium, Arlington"
94,Round of 16,,07/07/2026 01:00,scheduled,Winner R32 M9,Winner R32 M10,,,,,"Lumen Field, Seattle"
95,Round of 16,,07/07/2026 17:00,scheduled,Winner R32 M14,Winner R32 M16,,,,,"Mercedes-Benz Stadium, Atlanta"
96,Round of 16,,07/07/2026 21:00,scheduled,Winner R32 M13,Winner R32 M15,,,,,"BC Place, Vancouver"
97,Quarter-final,,09/07/2026 21:00,scheduled,Winner R16 M1,Winner R16 M2,,,,,"Gillette Stadium, Foxborough"
98,Quarter-final,,10/07/2026 20:00,scheduled,Winner R16 M5,Winner R16 M6,,,,,"SoFi Stadium, Inglewood"
99,Quarter-final,,11/07/2026 22:00,scheduled,Winner R16 M3,Winner R16 M4,,,,,"Hard Rock Stadium, Miami"
100,Quarter-final,,12/07/2026 02:00,scheduled,Winner R16 M7,Winner R16 M8,,,,,"Arrowhead Stadium, Kansas City"
101,Semi-final,,14/07/2026 20:00,scheduled,Winner QF1,Winner QF2,,,,,"AT&T Stadium, Arlington"
102,Semi-final,,15/07/2026 20:00,scheduled,Winner QF3,Winner QF4,,,,,"Mercedes-Benz Stadium, Atlanta"
103,Third-place match,,18/07/2026 22:00,scheduled,Loser SF1,Loser SF2,,,,,"Hard Rock Stadium, Miami"
104,Final,,19/07/2026 20:00,scheduled,Winner SF1,Winner SF2,,,,,"MetLife Stadium, East Rutherford"
