match_id,stage,group,datetime,status,home,away,home_score,away_score,home_red_cards,away_red_cards,venue
56,Group stage,E,2026-06-25 21:00,scheduled,Curacao,Ivory Coast,,,,,"Lincoln Financial Field, Philadelphia"
57,Group stage,F,2026-06-26 00:00,scheduled,Tunisia,Netherlands,,,,,"Arrowhead Stadium, Kansas City"
58,Group stage,F,2026-06-26 00:00,scheduled,Japan,Sweden,,,,,"AT&T Stadium, Arlington"
59,Group stage,D,2026-06-26 03:00,scheduled,Turkiye,United States,,,,,"SoFi Stadium, Inglewood"
60,Group stage,D,2026-06-26 03:00,scheduled,Paraguay,Australia,,,,,"Levi's Stadium, Santa Clara"
61,Group stage,I,2026-06-26 20:00,scheduled,Norway,France,,,,,"Gillette Stadium, Foxborough"
62,Group stage,I,2026-06-26 20:00,scheduled,Senegal,Iraq,,,,,"BMO Field, Toronto"
63,Group stage,H,2026-06-27 01:00,scheduled,Uruguay,Spain,,,,,"Estadio Akron, Guadalajara"
64,Group stage,H,2026-06-27 01:00,scheduled,Cape Verde,Saudi Arabia,,,,,"NRG Stadium, Houston"
65,Group stage,G,2026-06-27 04:00,scheduled,New Zealand,Belgium,,,,,"BC Place, Vancouver"
66,Group stage,G,2026-06-27 04:00,scheduled,Egypt,Iran,,,,,"Lumen Field, Seattle"
67,Group stage,L,2026-06-27 22:00,scheduled,Panama,England,,,,,"MetLife Stadium, East Rutherford"
68,Group stage,L,2026-06-27 22:00,scheduled,Croatia,Ghana,,,,,"Lincoln Financial Field, Philadelphia"
69,Group stage,K,2026-06-28 00:30,scheduled,Colombia,Portugal,,,,,"Hard Rock Stadium, Miami"
70,Group stage,K,2026-06-28 00:30,scheduled,DR Congo,Uzbekistan,,,,,"Mercedes-Benz Stadium, Atlanta"
71,Group stage,J,2026-06-28 03:00,scheduled,Jordan,Argentina,,,,,"Arrowhead Stadium, Kansas City"
72,Group stage,J,2026-06-28 03:00,scheduled,Algeria,Austria,,,,,"AT&T Stadium, Arlington"
73,Round of 32,,2026-06-28 20:00,scheduled,2nd Group A,2nd Group B,,,,,"SoFi Stadium, Inglewood"
